L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L2_HitRate,TotalCacheSize,MatrixSize
16kB,128kB,4,16,11212566000,0.011213,7.17,0.048442,0.069113,0.930887,144,64
32kB,128kB,4,16,10606350000,0.010606,6.76,0.005122,0.590732,0.4092679999999999,160,64
64kB,128kB,8,16,10588089000,0.010588,3.64,0.003862,0.758052,0.241948,192,64
64kB,256kB,8,4,10587765000,0.010588,5.15,0.003862,0.756518,0.2434819999999999,320,64
16kB,128kB,8,16,129171674000,0.129172,69.01,0.496477,0.003528,0.996472,144,128
32kB,128kB,4,8,129163932000,0.129164,64.87,0.496386,0.003527,0.996473,160,128
64kB,128kB,4,8,80513293000,0.080513,27.61,0.025189,0.069362,0.930638,192,128
64kB,256kB,4,16,80252749000,0.080253,40.29,0.025189,0.03962,0.96038,320,128
64kB,512kB,4,4,80250230000,0.08025,30.0,0.025189,0.039335,0.960665,576,128
16kB,128kB,4,16,2275897882000,2.275898,689.16,0.500006,0.999787,0.000213,144,256
32kB,128kB,4,16,2275888713000,2.275889,690.49,0.499991,0.999816,0.0001839999999999,160,256
16kB,256kB,4,4,1050643091000,1.050643,540.44,0.500006,0.025373,0.974627,272,256
32kB,256kB,4,4,1050638009000,1.050638,537.83,0.499991,0.025373,0.974627,288,256
64kB,256kB,8,4,1050624996000,1.050625,437.85,0.49996,0.025375,0.974625,320,256
16kB,512kB,4,16,1017639882000,1.01764,521.53,0.500006,0.001443,0.998557,528,256
32kB,512kB,4,8,1017607360000,1.017607,359.79,0.499991,0.001443,0.998557,544,256
64kB,512kB,8,16,1017607102000,1.017607,398.42,0.49996,0.001443,0.998557,576,256
