L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L1_HitRate,L2_HitRate,TotalCacheSize
128kB,128kB,2,4,81058517000,0.081059,28.25,0.022899,0.051335,0.977101,0.948665,256
128kB,128kB,2,8,81128521000,0.081129,26.28,0.022899,0.06068,0.977101,0.93932,256
128kB,128kB,2,16,81128406000,0.081128,27.02,0.022899,0.06062,0.977101,0.93938,256
128kB,128kB,4,4,77876305000,0.077876,25.99,0.001669,0.664897,0.998331,0.33510300000000004,256
128kB,128kB,4,8,77911372000,0.077911,27.01,0.001669,0.728202,0.998331,0.271798,256
128kB,128kB,4,16,77917079000,0.077917,26.21,0.001669,0.73789,0.998331,0.26210999999999995,256
128kB,128kB,8,4,77876301000,0.077876,37.88,0.001669,0.667153,0.998331,0.332847,256
128kB,128kB,8,8,77895941000,0.077896,29.83,0.001669,0.700199,0.998331,0.299801,256
128kB,128kB,8,16,77914484000,0.077914,31.42,0.001669,0.734041,0.998331,0.26595899999999995,256
128kB,256kB,2,4,81003369000,0.081003,26.51,0.022899,0.044074,0.977101,0.955926,384
128kB,256kB,2,8,81007094000,0.081007,32.26,0.022899,0.0446,0.977101,0.9554,384
128kB,256kB,2,16,81002513000,0.081003,35.99,0.022899,0.043963,0.977101,0.956037,384
128kB,256kB,4,4,77832833000,0.077833,25.91,0.001669,0.586729,0.998331,0.41327100000000005,384
128kB,256kB,4,8,77828104000,0.077828,33.86,0.001669,0.578633,0.998331,0.42136700000000005,384
128kB,256kB,4,16,77823936000,0.077824,31.07,0.001669,0.571466,0.998331,0.42853399999999997,384
128kB,256kB,8,4,77832833000,0.077833,35.58,0.001669,0.586596,0.998331,0.413404,384
128kB,256kB,8,8,77828472000,0.077828,27.11,0.001669,0.579164,0.998331,0.420836,384
128kB,256kB,8,16,77824264000,0.077824,27.01,0.001669,0.571732,0.998331,0.428268,384
128kB,512kB,2,4,80997042000,0.080997,27.14,0.022899,0.043255,0.977101,0.956745,640
128kB,512kB,2,8,80997042000,0.080997,26.17,0.022899,0.043255,0.977101,0.956745,640
128kB,512kB,2,16,80997042000,0.080997,27.1,0.022899,0.043255,0.977101,0.956745,640
128kB,512kB,4,4,77821605000,0.077822,30.13,0.001669,0.567618,0.998331,0.43238200000000004,640
128kB,512kB,4,8,77821605000,0.077822,26.29,0.001669,0.567618,0.998331,0.43238200000000004,640
128kB,512kB,4,16,77821605000,0.077822,27.5,0.001669,0.567618,0.998331,0.43238200000000004,640
128kB,512kB,8,4,77821605000,0.077822,32.12,0.001669,0.567618,0.998331,0.43238200000000004,640
128kB,512kB,8,8,77821605000,0.077822,27.16,0.001669,0.567618,0.998331,0.43238200000000004,640
128kB,512kB,8,16,77821605000,0.077822,25.29,0.001669,0.567618,0.998331,0.43238200000000004,640
16kB,128kB,2,4,131268949000,0.131269,63.6,0.507219,0.003454,0.492781,0.996546,144
16kB,128kB,2,8,131266215000,0.131266,66.65,0.507219,0.003453,0.492781,0.996547,144
16kB,128kB,2,16,131266175000,0.131266,63.76,0.507219,0.003454,0.492781,0.996546,144
16kB,128kB,4,4,129174583000,0.129175,64.98,0.496482,0.003529,0.503518,0.996471,144
16kB,128kB,4,8,129171821000,0.129172,64.74,0.496482,0.003528,0.503518,0.996472,144
16kB,128kB,4,16,129172603000,0.129173,64.51,0.496482,0.003528,0.503518,0.996472,144
16kB,128kB,8,4,129175232000,0.129175,66.69,0.496477,0.003528,0.5035229999999999,0.996472,144
16kB,128kB,8,8,129171726000,0.129172,67.35,0.496477,0.003528,0.5035229999999999,0.996472,144
16kB,128kB,8,16,129171674000,0.129172,69.01,0.496477,0.003528,0.5035229999999999,0.996472,144
16kB,256kB,2,4,131018487000,0.131018,63.72,0.507219,0.00202,0.492781,0.99798,272
16kB,256kB,2,8,131017927000,0.131018,64.3,0.507219,0.002019,0.492781,0.997981,272
16kB,256kB,2,16,131016184000,0.131016,63.93,0.507219,0.002009,0.492781,0.997991,272
16kB,256kB,4,4,128927023000,0.128927,64.71,0.496482,0.002067,0.503518,0.997933,272
16kB,256kB,4,8,128927023000,0.128927,64.54,0.496482,0.002065,0.503518,0.997935,272
16kB,256kB,4,16,128924435000,0.128924,74.0,0.496482,0.002046,0.503518,0.997954,272
16kB,256kB,8,4,128926885000,0.128927,67.97,0.496477,0.002068,0.5035229999999999,0.997932,272
16kB,256kB,8,8,128926560000,0.128927,67.35,0.496477,0.002066,0.5035229999999999,0.997934,272
16kB,256kB,8,16,128924044000,0.128924,67.34,0.496477,0.00205,0.5035229999999999,0.99795,272
16kB,512kB,2,4,131008126000,0.131008,64.37,0.507219,0.001959,0.492781,0.998041,528
16kB,512kB,2,8,131008126000,0.131008,63.97,0.507219,0.001959,0.492781,0.998041,528
16kB,512kB,2,16,131008126000,0.131008,63.88,0.507219,0.001959,0.492781,0.998041,528
16kB,512kB,4,4,128916312000,0.128916,64.49,0.496482,0.002002,0.503518,0.997998,528
16kB,512kB,4,8,128916312000,0.128916,64.75,0.496482,0.002002,0.503518,0.997998,528
16kB,512kB,4,16,128916312000,0.128916,66.88,0.496482,0.002002,0.503518,0.997998,528
16kB,512kB,8,4,128916063000,0.128916,67.13,0.496477,0.002002,0.5035229999999999,0.997998,528
16kB,512kB,8,8,128916063000,0.128916,66.72,0.496477,0.002002,0.5035229999999999,0.997998,528
16kB,512kB,8,16,128916063000,0.128916,68.21,0.496477,0.002002,0.5035229999999999,0.997998,528
32kB,128kB,2,4,131261947000,0.131262,65.28,0.507155,0.003453,0.492845,0.996547,160
32kB,128kB,2,8,131258383000,0.131258,63.91,0.507155,0.003453,0.492845,0.996547,160
32kB,128kB,2,16,131248736000,0.131249,64.35,0.507155,0.003406,0.492845,0.996594,160
32kB,128kB,4,4,129165580000,0.129166,64.73,0.496386,0.003527,0.503614,0.996473,160
32kB,128kB,4,8,129163932000,0.129164,64.87,0.496386,0.003527,0.503614,0.996473,160
