L1_Size,L2_Size,L1_Assoc,L2_Assoc,Time,L1_MissRate,L2_MissRate
16kB,128kB,2,4,0.131269,0.507219,0.003454
16kB,128kB,2,8,0.131266,0.507219,0.003453
16kB,128kB,2,16,0.131266,0.507219,0.003454
16kB,128kB,4,4,0.129175,0.496482,0.003529
16kB,128kB,4,8,0.129172,0.496482,0.003528
16kB,128kB,4,16,0.129173,0.496482,0.003528
16kB,128kB,8,4,0.129175,0.496477,0.003528
16kB,128kB,8,8,0.129172,0.496477,0.003528
16kB,128kB,8,16,0.129172,0.496477,0.003528
16kB,256kB,2,4,0.131018,0.507219,0.002020
16kB,256kB,2,8,0.131018,0.507219,0.002019
16kB,256kB,2,16,0.131016,0.507219,0.002009
16kB,256kB,4,4,0.128927,0.496482,0.002067
16kB,256kB,4,8,0.128927,0.496482,0.002065
16kB,256kB,4,16,0.128924,0.496482,0.002046
16kB,256kB,8,4,0.128927,0.496477,0.002068
16kB,256kB,8,8,0.128927,0.496477,0.002066
16kB,256kB,8,16,0.128924,0.496477,0.002050
16kB,512kB,2,4,0.131008,0.507219,0.001959
16kB,512kB,2,8,0.131008,0.507219,0.001959
16kB,512kB,2,16,0.131008,0.507219,0.001959
16kB,512kB,4,4,0.128916,0.496482,0.002002
16kB,512kB,4,8,0.128916,0.496482,0.002002
16kB,512kB,4,16,0.128916,0.496482,0.002002
16kB,512kB,8,4,0.128916,0.496477,0.002002
16kB,512kB,8,8,0.128916,0.496477,0.002002
16kB,512kB,8,16,0.128916,0.496477,0.002002
32kB,128kB,2,4,0.131262,0.507155,0.003453
32kB,128kB,2,8,0.131258,0.507155,0.003453
32kB,128kB,2,16,0.131249,0.507155,0.003406
32kB,128kB,4,4,0.129166,0.496386,0.003527
32kB,128kB,4,8,0.129164,0.496386,0.003527
32kB,128kB,4,16,0.129164,0.496386,0.003528
32kB,128kB,8,4,0.129167,0.496359,0.003528
32kB,128kB,8,8,0.129164,0.496359,0.003528
32kB,128kB,8,16,0.129164,0.496359,0.003528
32kB,256kB,2,4,0.131009,0.507155,0.002001
32kB,256kB,2,8,0.131011,0.507155,0.002007
32kB,256kB,2,16,0.131007,0.507155,0.001989
32kB,256kB,4,4,0.128914,0.496386,0.002045
32kB,256kB,4,8,0.128915,0.496386,0.002052
32kB,256kB,4,16,0.128911,0.496386,0.002029
32kB,256kB,8,4,0.128911,0.496359,0.002042
32kB,256kB,8,8,0.128912,0.496359,0.002051
32kB,256kB,8,16,0.128908,0.496359,0.002026
32kB,512kB,2,4,0.131002,0.507155,0.001960
32kB,512kB,2,8,0.131002,0.507155,0.001960
32kB,512kB,2,16,0.131002,0.507155,0.001960
32kB,512kB,4,4,0.128907,0.496386,0.002002
32kB,512kB,4,8,0.128907,0.496386,0.002002
32kB,512kB,4,16,0.128907,0.496386,0.002002
32kB,512kB,8,4,0.128904,0.496359,0.002002
32kB,512kB,8,8,0.128904,0.496359,0.002002
32kB,512kB,8,16,0.128904,0.496359,0.002002
64kB,128kB,2,4,0.081830,0.027937,0.066930
64kB,128kB,2,8,0.081784,0.027937,0.062783
64kB,128kB,2,16,0.081785,0.027937,0.062525
64kB,128kB,4,4,0.080517,0.025189,0.069362
64kB,128kB,4,8,0.080513,0.025189,0.069362
64kB,128kB,4,16,0.080513,0.025189,0.069307
64kB,128kB,8,4,0.082175,0.041297,0.042344
64kB,128kB,8,8,0.082174,0.041297,0.042322
64kB,128kB,8,16,0.082172,0.041297,0.042328
64kB,256kB,2,4,0.081524,0.027937,0.036148
64kB,256kB,2,8,0.081524,0.027937,0.036181
64kB,256kB,2,16,0.081520,0.027937,0.035750
64kB,256kB,4,4,0.080259,0.025189,0.040273
64kB,256kB,4,8,0.080258,0.025189,0.040116
64kB,256kB,4,16,0.080253,0.025189,0.039620
64kB,256kB,8,4,0.081922,0.041297,0.024568
64kB,256kB,8,8,0.081921,0.041297,0.024500
64kB,256kB,8,16,0.081916,0.041297,0.024197
64kB,512kB,2,4,0.081517,0.027937,0.035476
64kB,512kB,2,8,0.081517,0.027937,0.035476
64kB,512kB,2,16,0.081517,0.027937,0.035476
64kB,512kB,4,4,0.080250,0.025189,0.039335
64kB,512kB,4,8,0.080250,0.025189,0.039335
64kB,512kB,4,16,0.080250,0.025189,0.039335
64kB,512kB,8,4,0.081914,0.041297,0.024023
64kB,512kB,8,8,0.081914,0.041297,0.024023
64kB,512kB,8,16,0.081914,0.041297,0.024023
