L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L1_HitRate,L2_HitRate,TotalCacheSize
128kB,128kB,2,4,2284373073000,2.284373,395.66,0.505395,0.989205,0.49460499999999996,0.010794999999999999,256
128kB,128kB,2,8,2284310783000,2.284311,408.93,0.505395,0.989153,0.49460499999999996,0.010847000000000051,256
128kB,128kB,2,16,2284160281000,2.28416,383.3,0.505395,0.989063,0.49460499999999996,0.010936999999999975,256
128kB,128kB,4,4,2276014079000,2.276014,375.07,0.499921,1.0,0.5000789999999999,0.0,256
128kB,128kB,4,8,2276013016000,2.276013,362.32,0.499921,0.999999,0.5000789999999999,1.0000000000287557e-06,256
128kB,128kB,4,16,2276014079000,2.276014,353.69,0.499921,1.0,0.5000789999999999,0.0,256
128kB,128kB,8,4,2275981871000,2.275982,356.6,0.499906,1.0,0.500094,0.0,256
128kB,128kB,8,8,2275966298000,2.275966,432.55,0.499906,1.0,0.500094,0.0,256
128kB,128kB,8,16,2275958512000,2.275959,351.19,0.499906,1.0,0.500094,0.0,256
128kB,256kB,2,4,1057480463000,1.05748,266.86,0.505395,0.024349,0.49460499999999996,0.975651,384
128kB,256kB,2,8,1063981982000,1.063982,263.86,0.505395,0.028312,0.49460499999999996,0.971688,384
128kB,256kB,2,16,1064119759000,1.06412,267.47,0.505395,0.028403,0.49460499999999996,0.971597,384
128kB,256kB,4,4,1046592910000,1.046593,304.01,0.499921,0.022027,0.5000789999999999,0.977973,384
128kB,256kB,4,8,1072432911000,1.072433,268.17,0.499921,0.03996,0.5000789999999999,0.96004,384
128kB,256kB,4,16,1071534645000,1.071535,333.62,0.499921,0.039397,0.5000789999999999,0.960603,384
128kB,256kB,8,4,1045061395000,1.045061,264.65,0.499906,0.02083,0.500094,0.97917,384
128kB,256kB,8,8,1056944275000,1.056944,310.72,0.499906,0.028671,0.500094,0.971329,384
128kB,256kB,8,16,1119622525000,1.119623,297.52,0.499906,0.070716,0.500094,0.929284,384
128kB,512kB,2,4,1025938627000,1.025939,306.72,0.505395,0.001427,0.49460499999999996,0.998573,640
128kB,512kB,2,8,1025923900000,1.025924,300.49,0.505395,0.001427,0.49460499999999996,0.998573,640
128kB,512kB,2,16,1025892785000,1.025893,339.46,0.505395,0.001399,0.49460499999999996,0.998601,640
128kB,512kB,4,4,1017617930000,1.017618,371.35,0.499921,0.001443,0.5000789999999999,0.998557,640
128kB,512kB,4,8,1017607084000,1.017607,274.19,0.499921,0.001443,0.5000789999999999,0.998557,640
128kB,512kB,4,16,1017607102000,1.017607,276.7,0.499921,0.001443,0.5000789999999999,0.998557,640
128kB,512kB,8,4,1017599623000,1.0176,384.9,0.499906,0.001443,0.500094,0.998557,640
