L1_Size,L2_Size,L1_Assoc,L2_Assoc,Time,L1_MissRate,L2_MissRate
16kB,128kB,2,4,2.284330,0.505450,0.989063
16kB,128kB,2,8,2.284251,0.505450,0.989033
16kB,128kB,2,16,2.284202,0.505450,0.989019
16kB,128kB,4,4,2.276012,0.500006,0.999831
16kB,128kB,4,8,2.275928,0.500006,0.999801
16kB,128kB,4,16,2.275898,0.500006,0.999787
16kB,128kB,8,4,2.276007,0.500006,0.999832
16kB,128kB,8,8,2.275936,0.500006,0.999801
16kB,128kB,8,16,2.275898,0.500006,0.999787
16kB,256kB,2,4,1.058960,0.505450,0.025099
16kB,256kB,2,8,1.083241,0.505450,0.041306
16kB,256kB,2,16,1.132353,0.505450,0.073810
16kB,256kB,4,4,1.050643,0.500006,0.025373
16kB,256kB,4,8,1.074925,0.500006,0.041756
16kB,256kB,4,16,1.124038,0.500006,0.074614
16kB,256kB,8,4,1.050645,0.500006,0.025373
16kB,256kB,8,8,1.074925,0.500006,0.041756
16kB,256kB,8,16,1.124014,0.500006,0.074614
16kB,512kB,2,4,1.025974,0.505450,0.001427
16kB,512kB,2,8,1.025966,0.505450,0.001427
16kB,512kB,2,16,1.025965,0.505450,0.001427
16kB,512kB,4,4,1.017659,0.500006,0.001443
16kB,512kB,4,8,1.017643,0.500006,0.001443
16kB,512kB,4,16,1.017640,0.500006,0.001443
16kB,512kB,8,4,1.017654,0.500006,0.001443
16kB,512kB,8,8,1.017643,0.500006,0.001443
16kB,512kB,8,16,1.017643,0.500006,0.001443
32kB,128kB,2,4,2.284330,0.505441,0.989079
32kB,128kB,2,8,2.284251,0.505441,0.989049
32kB,128kB,2,16,2.284221,0.505441,0.989042
32kB,128kB,4,4,2.276018,0.499991,0.999861
32kB,128kB,4,8,2.275943,0.499991,0.999831
32kB,128kB,4,16,2.275889,0.499991,0.999816
32kB,128kB,8,4,2.276007,0.499990,0.999862
32kB,128kB,8,8,2.275943,0.499990,0.999832
32kB,128kB,8,16,2.275907,0.499990,0.999818
32kB,256kB,2,4,1.058958,0.505441,0.025100
32kB,256kB,2,8,1.083217,0.505441,0.041307
32kB,256kB,2,16,1.132353,0.505441,0.073811
32kB,256kB,4,4,1.050638,0.499991,0.025373
32kB,256kB,4,8,1.074901,0.499991,0.041757
32kB,256kB,4,16,1.124045,0.499991,0.074616
32kB,256kB,8,4,1.050638,0.499990,0.025373
32kB,256kB,8,8,1.074902,0.499990,0.041757
32kB,256kB,8,16,1.124046,0.499990,0.074616
32kB,512kB,2,4,1.025962,0.505441,0.001427
32kB,512kB,2,8,1.025951,0.505441,0.001427
32kB,512kB,2,16,1.025954,0.505441,0.001427
32kB,512kB,4,4,1.017623,0.499991,0.001443
32kB,512kB,4,8,1.017607,0.499991,0.001443
32kB,512kB,4,16,1.017607,0.499991,0.001443
32kB,512kB,8,4,1.017623,0.499990,0.001443
32kB,512kB,8,8,1.017607,0.499990,0.001443
32kB,512kB,8,16,1.017607,0.499990,0.001443
64kB,128kB,2,4,2.284410,0.505426,0.989177
64kB,128kB,2,8,2.284268,0.505426,0.989064
64kB,128kB,2,16,2.284316,0.505426,0.989088
64kB,128kB,4,4,2.275935,0.499967,0.999901
64kB,128kB,4,8,2.275938,0.499967,0.999934
64kB,128kB,4,16,2.275938,0.499967,0.999891
64kB,128kB,8,4,2.275990,0.499960,0.999982
64kB,128kB,8,8,2.275928,0.499960,0.999922
64kB,128kB,8,16,2.275954,0.499960,0.999938
64kB,256kB,2,4,1.058958,0.505426,0.025100
64kB,256kB,2,8,1.083217,0.505426,0.041308
64kB,256kB,2,16,1.128328,0.505426,0.071169
64kB,256kB,4,4,1.050631,0.499967,0.025374
64kB,256kB,4,8,1.074901,0.499967,0.041759
64kB,256kB,4,16,1.123983,0.499967,0.074619
64kB,256kB,8,4,1.050625,0.499960,0.025375
64kB,256kB,8,8,1.074870,0.499960,0.041760
64kB,256kB,8,16,1.123983,0.499960,0.074620
64kB,512kB,2,4,1.025939,0.505426,0.001427
64kB,512kB,2,8,1.025931,0.505426,0.001427
64kB,512kB,2,16,1.025931,0.505426,0.001427
64kB,512kB,4,4,1.017619,0.499967,0.001443
64kB,512kB,4,8,1.017607,0.499967,0.001443
64kB,512kB,4,16,1.017607,0.499967,0.001443
64kB,512kB,8,4,1.017619,0.499960,0.001443
64kB,512kB,8,8,1.017607,0.499960,0.001443
64kB,512kB,8,16,1.017607,0.499960,0.001443
