L1_Size,L2_Size,L1_Assoc,L2_Assoc,Type,Time,Cycles,L1_MissRate,L2_MissRate,IPC
32kB,256kB,4,4,Simple,4.71882,4718819800544,0.025,0.746185,0.285989
32kB,256kB,4,4,Chunked,4.118976,4118975572853,0.025,0.616938,0.299337
32kB,256kB,4,8,Simple,4.737819,4737818518119,0.025,0.785447,0.284891
32kB,256kB,4,8,Chunked,4.137255,4137254897685,0.025,0.637722,0.298448
32kB,256kB,4,16,Simple,4.777034,4777034028448,0.025,0.837764,0.282847
32kB,256kB,4,16,Chunked,4.170427,4170426927615,0.025,0.709066,0.295743
32kB,256kB,8,4,Simple,4.730427,4730427017116,0.025,0.741159,0.285396
32kB,256kB,8,4,Chunked,4.129151,4129150840663,0.025,0.60535,0.298807
32kB,256kB,8,8,Simple,4.742585,4742584771785,0.025,0.782118,0.284172
32kB,256kB,8,8,Chunked,4.145626,4145625594096,0.025,0.637843,0.29758
32kB,256kB,8,16,Simple,4.785941,4785941083507,0.025,0.849406,0.28196
32kB,256kB,8,16,Chunked,4.178996,4178995640381,0.025,0.708941,0.295512
32kB,256kB,16,4,Simple,4.746571,4746570691699,0.025,0.74394,0.28415
32kB,256kB,16,4,Chunked,4.143797,4143796831155,0.025,0.609212,0.298291
32kB,256kB,16,8,Simple,4.768506,4768506063946,0.025,0.781652,0.283436
32kB,256kB,16,8,Chunked,4.163861,4163860627503,0.025,0.642409,0.296609
32kB,256kB,16,16,Simple,4.807164,4807163816999,0.025,0.842289,0.280607
32kB,256kB,16,16,Chunked,4.193799,4193798503721,0.025,0.728399,0.294409
32kB,512kB,4,4,Simple,4.538844,4538843763615,0.025,0.598846,0.297343
32kB,512kB,4,4,Chunked,3.962703,3962703344639,0.025,0.492901,0.311509
32kB,512kB,4,8,Simple,4.554565,4554565031218,0.025,0.62368,0.296204
32kB,512kB,4,8,Chunked,3.975731,3975731473975,0.025,0.509437,0.310446
32kB,512kB,4,16,Simple,4.593351,4593350943998,0.025,0.698336,0.293921
32kB,512kB,4,16,Chunked,4.009551,4009550631990,0.025,0.557055,0.307673
32kB,512kB,8,4,Simple,4.549262,4549261775739,0.025,0.603145,0.296856
32kB,512kB,8,4,Chunked,3.972019,3972018992988,0.025,0.479172,0.311014
32kB,512kB,8,8,Simple,4.564914,4564913960656,0.025,0.640525,0.29595
32kB,512kB,8,8,Chunked,3.980149,3980149276293,0.025,0.505374,0.309879
32kB,512kB,8,16,Simple,4.600778,4600777511267,0.025,0.678196,0.2933
32kB,512kB,8,16,Chunked,4.016182,4016181709930,0.025,0.550863,0.307532
32kB,512kB,16,4,Simple,4.565412,4565411574454,0.025,0.595407,0.295417
32kB,512kB,16,4,Chunked,3.986671,3986671418060,0.025,0.489476,0.309738
32kB,512kB,16,8,Simple,4.586356,4586355529860,0.025,0.637047,0.294217
32kB,512kB,16,8,Chunked,4.004461,4004460612556,0.025,0.514098,0.308157
32kB,512kB,16,16,Simple,4.623508,4623507501511,0.025,0.68371,0.292274
32kB,512kB,16,16,Chunked,4.030609,4030609109844,0.025,0.570674,0.306074
32kB,1024kB,4,4,Simple,4.309502,4309501587020,0.025,0.427857,0.313185
32kB,1024kB,4,4,Chunked,3.763281,3763281153404,0.025,0.311216,0.328188
32kB,1024kB,4,8,Simple,4.325977,4325976869581,0.025,0.453292,0.311947
32kB,1024kB,4,8,Chunked,3.776623,3776623024061,0.025,0.328996,0.326924
32kB,1024kB,4,16,Simple,4.365735,4365734951148,0.025,0.504896,0.309477
32kB,1024kB,4,16,Chunked,3.80904,3809040489173,0.025,0.36176,0.32402
32kB,1024kB,8,4,Simple,4.319705,4319704922981,0.025,0.427099,0.312591
32kB,1024kB,8,4,Chunked,3.766938,3766938089013,0.025,0.308582,0.327419
32kB,1024kB,8,8,Simple,4.338697,4338697393434,0.025,0.453472,0.311348
32kB,1024kB,8,8,Chunked,3.785264,3785263760450,0.025,0.325357,0.325743
32kB,1024kB,8,16,Simple,4.37044,4370440100201,0.025,0.484865,0.308841
32kB,1024kB,8,16,Chunked,3.816986,3816986158381,0.025,0.355911,0.323634
32kB,1024kB,16,4,Simple,4.336961,4336960732172,0.025,0.434899,0.31168
32kB,1024kB,16,4,Chunked,3.785043,3785043480328,0.025,0.311382,0.326019
32kB,1024kB,16,8,Simple,4.358925,4358924830743,0.025,0.446661,0.309888
32kB,1024kB,16,8,Chunked,3.799539,3799539336158,0.025,0.326567,0.324742
32kB,1024kB,16,16,Simple,4.385208,4385208332928,0.025,0.501889,0.307907
32kB,1024kB,16,16,Chunked,3.829436,3829435971563,0.025,0.349272,0.322201
64kB,256kB,4,4,Simple,4.366554,4366553827493,0.016918,0.746089,0.308796
64kB,256kB,4,4,Chunked,3.816683,3816683279136,0.013056,0.61538,0.323556
64kB,256kB,4,8,Simple,4.389751,4389751218989,0.016795,0.771568,0.30775
64kB,256kB,4,8,Chunked,3.832372,3832371914582,0.013141,0.650582,0.322725
64kB,256kB,4,16,Simple,4.420243,4420243055384,0.016897,0.845436,0.305023
64kB,256kB,4,16,Chunked,3.861682,3861682012062,0.013074,0.695677,0.319621
64kB,256kB,8,4,Simple,4.376094,4376093651531,0.017119,0.734718,0.308409
64kB,256kB,8,4,Chunked,3.822739,3822738818744,0.01339,0.628726,0.323257
64kB,256kB,8,8,Simple,4.395336,4395335938736,0.017204,0.78966,0.306888
64kB,256kB,8,8,Chunked,3.839301,3839300537007,0.013521,0.647264,0.321748
64kB,256kB,8,16,Simple,4.432827,4432827339302,0.017228,0.868255,0.304642
64kB,256kB,8,16,Chunked,3.871271,3871271369606,0.013371,0.708412,0.318797
64kB,256kB,16,4,Simple,4.3977,4397700313310,0.017807,0.717295,0.306767
64kB,256kB,16,4,Chunked,3.83717,3837169871793,0.013937,0.612271,0.321629
