L1_Size,L2_Size,L1_Assoc,L2_Assoc,Type,Time,Cycles,L1_MissRate,L2_MissRate,IPC
32kB,256kB,4,4,Simple,4.046534,4046533635000,0.021363,0.699196,0.295273
32kB,256kB,4,4,Chunked,4.082971,4082971252000,0.021278,0.700417,0.295103
32kB,256kB,4,8,Simple,4.060603,4060603389000,0.021363,0.726240,0.294250
32kB,256kB,4,8,Chunked,4.084534,4084534346000,0.021278,0.702067,0.294991
32kB,256kB,4,16,Simple,4.063290,4063289723000,0.021363,0.729918,0.294056
32kB,256kB,4,16,Chunked,4.085377,4085377230000,0.021278,0.703006,0.294930
32kB,256kB,8,4,Simple,4.050487,4050487077000,0.021906,0.681850,0.294985
32kB,256kB,8,4,Chunked,4.083283,4083282702000,0.021350,0.698043,0.295081
32kB,256kB,8,8,Simple,4.064676,4064675538000,0.021906,0.708223,0.293956
32kB,256kB,8,8,Chunked,4.084877,4084876965000,0.021350,0.699687,0.294966
32kB,256kB,8,16,Simple,4.067253,4067253299000,0.021906,0.711809,0.293769
32kB,256kB,8,16,Chunked,4.085657,4085657420000,0.021350,0.700623,0.294909
32kB,256kB,16,4,Simple,4.050861,4050860817000,0.021985,0.679400,0.294958
32kB,256kB,16,4,Chunked,4.083594,4083594152000,0.021406,0.696212,0.295058
32kB,256kB,16,8,Simple,4.065003,4065002546000,0.021985,0.705679,0.293932
32kB,256kB,16,8,Chunked,4.085072,4085071598000,0.021406,0.697852,0.294952
32kB,256kB,16,16,Simple,4.067588,4067588030000,0.021985,0.709252,0.293745
32kB,256kB,16,16,Chunked,4.085969,4085968870000,0.021406,0.698785,0.294887
32kB,512kB,4,4,Simple,3.987378,3987377802000,0.021363,0.599597,0.299654
32kB,512kB,4,4,Chunked,4.020991,4020991159000,0.021278,0.600275,0.299652
32kB,512kB,4,8,Simple,4.001845,4001844583000,0.021363,0.626767,0.298571
32kB,512kB,4,8,Chunked,4.022466,4022466453000,0.021278,0.602326,0.299542
32kB,512kB,4,16,Simple,4.004282,4004281602000,0.021363,0.630201,0.298389
32kB,512kB,4,16,Chunked,4.023369,4023368622000,0.021278,0.603489,0.299475
32kB,512kB,8,4,Simple,3.991341,3991340938000,0.021906,0.584722,0.299356
32kB,512kB,8,4,Chunked,4.021178,4021178029000,0.021350,0.598240,0.299638
32kB,512kB,8,8,Simple,4.005792,4005792281000,0.021906,0.611217,0.298277
32kB,512kB,8,8,Chunked,4.022840,4022840193000,0.021350,0.600284,0.299515
32kB,512kB,8,16,Simple,4.008299,4008299427000,0.021906,0.614566,0.298090
32kB,512kB,8,16,Chunked,4.023630,4023630396000,0.021350,0.601443,0.299456
32kB,512kB,16,4,Simple,3.991676,3991675747000,0.021985,0.582621,0.299331
32kB,512kB,16,4,Chunked,4.021458,4021458334000,0.021406,0.596671,0.299617
32kB,512kB,16,8,Simple,4.006112,4006111521000,0.021985,0.609022,0.298253
32kB,512kB,16,8,Chunked,4.022996,4022995918000,0.021406,0.598709,0.299503
32kB,512kB,16,16,Simple,4.008612,4008611789000,0.021985,0.612359,0.298067
32kB,512kB,16,16,Chunked,4.023929,4023929232000,0.021406,0.599865,0.299433
32kB,1024kB,4,4,Simple,3.928358,3928357879000,0.021363,0.500042,0.304156
32kB,1024kB,4,4,Chunked,3.959202,3959201979000,0.021278,0.501070,0.304329
32kB,1024kB,4,8,Simple,3.942910,3942910394000,0.021363,0.527280,0.303033
32kB,1024kB,4,8,Chunked,3.960739,3960738777000,0.021278,0.502972,0.304211
32kB,1024kB,4,16,Simple,3.945379,3945378668000,0.021363,0.530583,0.302844
32kB,1024kB,4,16,Chunked,3.961605,3961605139000,0.021278,0.504190,0.304144
32kB,1024kB,8,4,Simple,3.932259,3932258838000,0.021906,0.487637,0.303854
32kB,1024kB,8,4,Chunked,3.959482,3959482284000,0.021350,0.499372,0.304307
32kB,1024kB,8,8,Simple,3.946959,3946959386000,0.021906,0.514199,0.302723
32kB,1024kB,8,8,Chunked,3.961050,3961050227000,0.021350,0.501267,0.304187
32kB,1024kB,8,16,Simple,3.949428,3949427570000,0.021906,0.517420,0.302533
32kB,1024kB,8,16,Chunked,3.961854,3961854323000,0.021350,0.502481,0.304125
32kB,1024kB,16,4,Simple,3.932594,3932593647000,0.021985,0.485885,0.303828
32kB,1024kB,16,4,Chunked,3.959791,3959790835000,0.021406,0.498061,0.304283
32kB,1024kB,16,8,Simple,3.947356,3947356485000,0.021985,0.512352,0.302692
32kB,1024kB,16,8,Chunked,3.961331,3961330532000,0.021406,0.499952,0.304165
32kB,1024kB,16,16,Simple,3.949800,3949799764000,0.021985,0.515561,0.302505
32kB,1024kB,16,16,Chunked,3.962135,3962134604000,0.021406,0.501163,0.304104
64kB,256kB,4,4,Simple,4.031737,4031737342000,0.019212,0.779163,0.296357
64kB,256kB,4,4,Chunked,4.066931,4066931156000,0.019130,0.779025,0.296267
64kB,256kB,4,8,Simple,4.044680,4044679964000,0.019212,0.807540,0.295409
64kB,256kB,4,8,Chunked,4.068440,4068439904000,0.019130,0.780860,0.296158
64kB,256kB,4,16,Simple,4.047281,4047281115000,0.019212,0.811629,0.295219
64kB,256kB,4,16,Chunked,4.069306,4069306043000,0.019130,0.781905,0.296094
64kB,256kB,8,4,Simple,4.035920,4035920430000,0.019771,0.757108,0.296050
64kB,256kB,8,4,Chunked,4.066962,4066962301000,0.019184,0.776863,0.296265
64kB,256kB,8,8,Simple,4.048791,4048791104000,0.019771,0.784683,0.295109
64kB,256kB,8,8,Chunked,4.068533,4068533315000,0.019184,0.778693,0.296151
64kB,256kB,8,16,Simple,4.051431,4051431186000,0.019771,0.788656,0.294916
64kB,256kB,8,16,Chunked,4.069368,4069368333000,0.019184,0.779735,0.296090
64kB,256kB,16,4,Simple,4.036263,4036263025000,0.019852,0.754041,0.296025
64kB,256kB,16,4,Chunked,4.067056,4067055736000,0.019220,0.775395,0.296258
64kB,256kB,16,8,Simple,4.049149,4049149256000,0.019852,0.781512,0.295083
64kB,256kB,16,8,Chunked,4.068744,4068743543000,0.019220,0.777221,0.296135
64kB,256kB,16,16,Simple,4.051774,4051773781000,0.019852,0.785470,0.294892
64kB,256kB,16,16,Chunked,4.069524,4069524058000,0.019220,0.778261,0.296079
64kB,512kB,4,4,Simple,3.971377,3971376609000,0.019212,0.666720,0.300861
64kB,512kB,4,4,Chunked,4.004826,4004826400000,0.019130,0.667644,0.300862
64kB,512kB,4,8,Simple,3.985921,3985921391000,0.019212,0.696931,0.299763
64kB,512kB,4,8,Chunked,4.006395,4006395224000,0.019130,0.669925,0.300744
64kB,512kB,4,16,Simple,3.988331,3988330872000,0.019212,0.700749,0.299582
64kB,512kB,4,16,Chunked,4.007310,4007310128000,0.019130,0.671219,0.300675
64kB,512kB,8,4,Simple,3.975511,3975511084000,0.019771,0.647849,0.300548
64kB,512kB,8,4,Chunked,4.004858,4004857521000,0.019184,0.665791,0.300859
64kB,512kB,8,8,Simple,3.989947,3989946858000,0.019771,0.677204,0.299461
64kB,512kB,8,8,Chunked,4.006458,4006457514000,0.019184,0.668066,0.300739
64kB,512kB,8,16,Simple,3.992447,3992447091000,0.019771,0.680915,0.299274
64kB,512kB,8,16,Chunked,4.007310,4007310104000,0.019184,0.669356,0.300675
64kB,512kB,16,4,Simple,3.975986,3975986045000,0.019852,0.645231,0.300513
64kB,512kB,16,4,Chunked,4.005013,4005013246000,0.019220,0.664532,0.300848
64kB,512kB,16,8,Simple,3.990321,3990320598000,0.019852,0.674468,0.299433
64kB,512kB,16,8,Chunked,4.006551,4006550949000,0.019220,0.666803,0.300732
64kB,512kB,16,16,Simple,3.992777,3992776821000,0.019852,0.678164,0.299249
64kB,512kB,16,16,Chunked,4.007391,4007390800000,0.019220,0.668090,0.300669
64kB,1024kB,4,4,Simple,3.912357,3912356799000,0.019212,0.556020,0.305400
64kB,1024kB,4,4,Chunked,3.943131,3943130879000,0.019130,0.557305,0.305569
64kB,1024kB,4,8,Simple,3.927018,3927018416000,0.019212,0.586307,0.304260
64kB,1024kB,4,8,Chunked,3.944605,3944605335000,0.019130,0.559421,0.305455
64kB,1024kB,4,16,Simple,3.929462,3929461752000,0.019212,0.589980,0.304071
64kB,1024kB,4,16,Chunked,3.945565,3945565200000,0.019130,0.560775,0.305381
64kB,1024kB,8,4,Simple,3.916468,3916467915000,0.019771,0.540282,0.305079
64kB,1024kB,8,4,Chunked,3.943162,3943162024000,0.019184,0.555758,0.305567
64kB,1024kB,8,8,Simple,3.931161,3931160677000,0.019771,0.569712,0.303939
64kB,1024kB,8,8,Chunked,3.944699,3944698746000,0.019184,0.557868,0.305448
64kB,1024kB,8,16,Simple,3.933542,3933541723000,0.019771,0.573281,0.303755
64kB,1024kB,8,16,Chunked,3.945534,3945534031000,0.019184,0.559219,0.305383
64kB,1024kB,16,4,Simple,3.916842,3916841655000,0.019852,0.538099,0.305050
64kB,1024kB,16,4,Chunked,3.943255,3943255459000,0.019220,0.554708,0.305559
64kB,1024kB,16,8,Simple,3.931503,3931503272000,0.019852,0.567410,0.303913
64kB,1024kB,16,8,Chunked,3.944761,3944761036000,0.019220,0.556814,0.305443
64kB,1024kB,16,16,Simple,3.933947,3933946608000,0.019852,0.570965,0.303724
64kB,1024kB,16,16,Chunked,3.945659,3945658611000,0.019220,0.558162,0.305373
128kB,256kB,4,4,Simple,4.010925,4010924696000,0.017068,0.864171,0.297895
128kB,256kB,4,4,Chunked,4.053571,4053571220000,0.017023,0.875422,0.297244
128kB,256kB,4,8,Simple,4.022929,4022929347000,0.017068,0.896642,0.297006
128kB,256kB,4,8,Chunked,4.053944,4053943691000,0.017023,0.876797,0.297217
