L1_Size,L2_Size,L1_Assoc,L2_Assoc,Type,Time,Cycles,L1_MissRate,L2_MissRate,IPC
128kB,1024kB,16,16,Chunked,3.167347,3167347414000,0.012813,0.452159,0.340022
128kB,1024kB,16,4,Chunked,3.164919,3164918701000,0.012813,0.446338,0.340283
128kB,1024kB,16,8,Chunked,3.166390,3166390410000,0.012813,0.449875,0.340124
128kB,1024kB,4,16,Chunked,3.167326,3167325726000,0.012736,0.454881,0.340024
128kB,1024kB,4,4,Chunked,3.164994,3164994207000,0.012736,0.449026,0.340274
128kB,1024kB,4,8,Chunked,3.166415,3166414783000,0.012736,0.452583,0.340122
128kB,1024kB,8,16,Chunked,3.167347,3167347414000,0.012783,0.453229,0.340022
128kB,1024kB,8,4,Chunked,3.164919,3164918701000,0.012783,0.447395,0.340283
128kB,1024kB,8,8,Chunked,3.166352,3166352493000,0.012783,0.450939,0.340128
128kB,256kB,16,16,Chunked,3.291972,3291972372000,0.012813,0.815243,0.327149
128kB,256kB,16,4,Chunked,3.290498,3290497541000,0.012813,0.811325,0.327296
128kB,256kB,16,8,Chunked,3.290732,3290732341000,0.012813,0.813090,0.327273
128kB,256kB,4,16,Chunked,3.291552,3291552194000,0.012736,0.819388,0.327191
128kB,256kB,4,4,Chunked,3.290374,3290374259000,0.012736,0.816188,0.327308
128kB,256kB,4,8,Chunked,3.290758,3290757997000,0.012736,0.818390,0.327270
128kB,256kB,8,16,Chunked,3.292292,3292291608000,0.012783,0.817627,0.327118
128kB,256kB,8,4,Chunked,3.290584,3290584402000,0.012783,0.813245,0.327287
128kB,256kB,8,8,Chunked,3.290992,3290991584000,0.012783,0.815768,0.327247
128kB,512kB,16,16,Chunked,3.229065,3229065296000,0.012813,0.633998,0.333523
128kB,512kB,16,4,Chunked,3.226519,3226519179000,0.012813,0.627940,0.333786
128kB,512kB,16,8,Chunked,3.228180,3228179906000,0.012813,0.631782,0.333614
128kB,512kB,4,16,Chunked,3.229025,3229025160000,0.012736,0.637816,0.333527
128kB,512kB,4,4,Chunked,3.226437,3226437176000,0.012736,0.631720,0.333794
128kB,512kB,4,8,Chunked,3.228108,3228107592000,0.012736,0.635586,0.333622
128kB,512kB,8,16,Chunked,3.229159,3229158731000,0.012783,0.635499,0.333513
128kB,512kB,8,4,Chunked,3.226402,3226402385000,0.012783,0.629426,0.333798
128kB,512kB,8,8,Chunked,3.228139,3228138737000,0.012783,0.633277,0.333618
32kB,1024kB,16,16,Chunked,3.199810,3199810177000,0.017611,0.328991,0.336572
32kB,1024kB,16,4,Chunked,3.197403,3197403295000,0.017611,0.324756,0.336825
32kB,1024kB,16,8,Chunked,3.198837,3198836833000,0.017611,0.327329,0.336674
32kB,1024kB,4,16,Chunked,3.199187,3199187277000,0.017441,0.332183,0.336638
